--------- beginning of /dev/log/system
D/Genyd   (   56): error connecting to baseband :(Connection refused) 4 retries left
D/local_opengl(  112): Starting local_opengl
I/SystemServer(  290): Dock Observer
W/DockObserver(  290): This kernel does not have dock station support
I/SystemServer(  290): Wired Accessory Observer
W/WiredAccessoryObserver(  290): This kernel does not have wired headset support
W/WiredAccessoryObserver(  290): This kernel does not have usb audio support
W/WiredAccessoryObserver(  290): This kernel does not have HDMI audio support
I/SystemServer(  290): USB Service
I/SystemServer(  290): Serial Service
I/SystemServer(  290): UI Mode Manager Service
I/SystemServer(  290): Backup Service
V/BackupManagerService(  290): Initializing package tracking
V/BackupManagerService(  290): No ancestral data
V/BackupManagerService(  290): addPackageParticipantsLocked: all
I/BackupManagerService(  290): New app android never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of android
I/BackupManagerService(  290): New app com.android.browser never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.browser
I/BackupManagerService(  290): New app com.android.calendar never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.calendar
I/BackupManagerService(  290): New app com.android.inputmethod.latin never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.inputmethod.latin
I/BackupManagerService(  290): New app com.android.providers.settings never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.providers.settings
I/BackupManagerService(  290): New app com.android.providers.userdictionary never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.providers.userdictionary
I/BackupManagerService(  290): New app com.android.sharedstoragebackup never backed up; scheduling
D/BackupManagerService(  290): Now staging backup of com.android.sharedstoragebackup
V/BackupManagerService(  290): Registering transport android/com.android.internal.backup.LocalTransport = com.android.internal.backup.LocalTransport@536317a8
V/BackupManagerService(  290): Starting with transport android/com.android.internal.backup.LocalTransport
V/BackupManagerService(  290): Google transport not present
I/BackupManagerService(  290): Found stale backup journal, scheduling
I/BackupManagerService(  290):   android
I/BackupManagerService(  290):   com.android.browser
I/BackupManagerService(  290):   com.android.calendar
I/BackupManagerService(  290):   com.android.inputmethod.latin
I/BackupManagerService(  290):   com.android.providers.settings
I/BackupManagerService(  290):   com.android.providers.userdictionary
I/BackupManagerService(  290):   com.android.sharedstoragebackup
I/BackupManagerService(  290): Backup enabled => false
I/BackupManagerService(  290): Opting out of backup
I/SystemServer(  290): AppWidget Service
I/SystemServer(  290): Recognition Service
I/SystemServer(  290): DiskStats Service
I/SystemServer(  290): SamplingProfiler Service
I/SystemServer(  290): NetworkTimeUpdateService
I/SystemServer(  290): CommonTimeManagementService
I/SystemServer(  290): CertBlacklister
I/SystemServer(  290): Genyd Service
I/ClipboardService(  290): Got clipboard for user=0
D/PowerManagerService(  290): system ready!
I/ActivityManager(  290): System now ready
I/SystemServer(  290): Making services ready
D/SystemServer(  290): Starting service: Intent { cmp=com.android.systemui/.SystemUIService }
I/ActivityManager(  290): Start proc com.android.systemui for service com.android.systemui/.SystemUIService: pid=387 uid=10040 gids={1028, 1015, 3002, 3001}
D/NetworkManagementService(  290): enabling bandwidth control
D/SystemUIService(  387): loading: class com.android.systemui.statusbar.phone.PhoneStatusBar
D/SystemUIService(  387): running: com.android.systemui.statusbar.phone.PhoneStatusBar@53568098
I/StatusBarManagerService(  290): registerStatusBar bar=com.android.internal.statusbar.IStatusBar$Stub$Proxy@5366afe4
D/PhoneStatusBar(  387): disable: < expand icons alerts ticker system_info back home recent clock >
D/StorageNotification(  387): Startup with UMS connection false (media state mounted)
D/SystemUIService(  387): loading: class com.android.systemui.power.PowerUI
D/SystemUIService(  387): running: com.android.systemui.power.PowerUI@53594030
D/SystemUIService(  387): loading: class com.android.systemui.media.RingtonePlayer
D/SystemUIService(  387): running: com.android.systemui.media.RingtonePlayer@53594710
I/StorageNotification(  387): UMS connection changed to false (media state mounted)
I/ActivityManager(  290): Config changed: {1.0 0mcc0mnc en_US sw320dp w320dp h508dp nrml long port finger qwerty/v/v dpad/v s.4}
W/RecognitionManagerService(  290): no available voice recognition services found
D/WifiService(  290): New client listening to asynchronous messages
W/InputMethodManagerService(  290): Ignoring setImeWindowStatus of uid 1000 token: null
W/InputMethodManagerService(  290): Found no subtypes in a system IME: com.android.inputmethod.pinyin
I/ActivityManager(  290): Start proc com.android.inputmethod.latin for service com.android.inputmethod.latin/.LatinIME: pid=436 uid=10020 gids={1028}
W/ThrottleService(  290): unable to find stats for iface rmnet0
W/SocketClient(  116): write error (Broken pipe)
I/ActivityManager(  290): Start proc com.android.phone for added application com.android.phone: pid=450 uid=1001 gids={3002, 3001, 3003, 1015, 1028}
I/ActivityManager(  290): START {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.android.launcher/com.android.launcher2.Launcher u=0} from pid 0
I/ActivityManager(  290): Start proc com.android.launcher for activity com.android.launcher/com.android.launcher2.Launcher: pid=477 uid=10021 gids={1028}
I/SystemServer(  290): Enabled StrictMode for system server main thread.
I/LocationManagerService(  290): request passive (pid 290) 0 0
I/ActivityManager(  290): Start proc com.android.settings for broadcast com.android.settings/.widget.SettingsAppWidgetProvider: pid=486 uid=1000 gids={1015, 3002, 3001, 3003, 1028}
E/ActivityThread(  436): Failed to find provider info for com.android.inputmethod.latin.dictionarypack
W/InputMethodManagerService(  290): Found no subtypes in a system IME: com.android.inputmethod.pinyin
I/ActivityManager(  290): Start proc com.android.smspush for service com.android.smspush/.WapPushManager: pid=515 uid=10045 gids={1028}
I/ActivityManager(  290): Start proc android.process.acore for content provider com.android.providers.userdictionary/.UserDictionaryProvider: pid=528 uid=10000 gids={3003, 1015, 1028}
W/ActivityManager(  290): Unable to start service Intent { act=com.android.ussd.IExtendedNetworkService }: not found
